ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.","User Story:
As a site member, I want to create a semi-structured personal description on my profile page so that others can easily understand my background, interests, and skills.

Acceptance Criteria:
- Users should be able to input and format their descriptions using predefined sections (e.g., About Me, Skills, Interests) within 5 minutes.
- The profile description must allow for a minimum of 150 characters and a maximum of 500 characters to ensure sufficient detail.
- At least 85% of users should report that the semi-structured format enhances their ability to convey information about themselves, as measured by feedback surveys.

Test Outline:
- Track the time taken by users to complete their profile descriptions to ensure it is ≤ 5 minutes.
- Analyze user feedback to assess satisfaction with the semi-structured format and its effectiveness in conveying personal information.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US002,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.","User Story:
As a site member, I want to complete an application for the Certified Scrum Practitioner designation so that I can enhance my professional credentials and demonstrate my expertise in Scrum methodologies.

Acceptance Criteria:
- The application form must be completed and submitted within 10 minutes, ensuring a user-friendly experience.
- At least 95% of applications should be processed without errors, as tracked over a three-month period.
- Applicants should receive confirmation of their application status within 24 hours of submission.

Test Outline:
- Time the average duration taken by users to fill out and submit the application form to ensure it is ≤ 10 minutes.
- Monitor the application processing system for error rates and track confirmation email delivery times to verify compliance with the 24-hour criterion.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US003,"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.","User Story:
As a Practitioner, I want to enhance my profile page with additional details about my professional background so that I can effectively showcase my experience and attract potential clients or collaborators.

Acceptance Criteria:
- Users should be able to add up to 5 new sections to their profile, including work history, certifications, and skills, within 3 minutes.
- The profile update feature must save changes successfully with a 98% success rate, ensuring reliability.
- Users should receive a confirmation message within 30 seconds after successfully updating their profile.

Test Outline:
- Measure the time taken for users to complete the profile enhancement process to ensure it is ≤ 3 minutes.
- Track the success rate of profile updates and the time taken to send confirmation messages to verify compliance with the acceptance criteria.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US004,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.","User Story:
As a site member, I want to complete an application to become a Certified Scrum Trainer so that I can effectively teach Certified Scrum Master (CSM) and Certified Scrum Product Owner (CSPO) courses, enabling me to certify others and enhance their professional development.

Acceptance Criteria:
- The application form must be completed and submitted within 15 minutes, ensuring a streamlined process.
- At least 90% of applications should be processed and reviewed within 5 business days.
- Applicants should receive feedback on their application status within 2 days of review completion.

Test Outline:
- Track the average time taken by users to complete the application to ensure it is ≤ 15 minutes.
- Monitor the processing time for applications to confirm that 90% are reviewed within the 5-day timeframe.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US005,"As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.","User Story:
As a Trainer, I want to enhance my profile page with comprehensive details about my qualifications and experience so that potential clients can assess my suitability as their trainer and make informed decisions.

Acceptance Criteria:
- The profile page must allow for the inclusion of at least 300 words detailing my background, certifications, and training philosophy.
- Users should be able to view my profile updates within 1 minute of submission, ensuring timely access to information.
- At least 85% of users should report that the additional details helped them in their decision-making process, as measured by feedback surveys.

Test Outline:
- Review the profile page to ensure it accommodates the required word count and displays updates promptly.
- Conduct a survey post-implementation to gauge user feedback on the effectiveness of the additional profile details in their decision-making.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US006,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.","User Story:
As a Practitioner, I want to publish an article on the site that includes a small graphic displaying my Certified Scrum Professional (CSP) or Certified Scrum Trainer (CST) status, so that readers can easily recognize my qualifications and expertise.

Acceptance Criteria:
- The article must include a graphic that accurately represents my CSP or CST status, with a visibility rate of at least 95% on the article page.
- The article should be published within 48 hours of submission, ensuring timely sharing of knowledge.
- At least 80% of readers should report increased trust in the content based on the displayed certification, as measured by feedback forms.

Test Outline:
- Verify that the graphic is correctly displayed alongside the article and is visible on various devices.
- Track the publication timeline to ensure articles are published within the 48-hour window and analyze reader feedback for trust metrics.","that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US007,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","User Story:
As a trainer, I want to display my upcoming classes on my profile with direct links to detailed pages for each course, so that potential attendees can easily access information and register for my sessions.

Acceptance Criteria:
- The profile must showcase at least 5 upcoming classes with links to detailed descriptions for each course.
- Each class detail page should load within 3 seconds to ensure a smooth user experience.
- At least 80% of users should report that they found the class information clear and helpful in a post-visit survey.

Test Outline:
- Verify that the profile displays a minimum of 5 upcoming classes with functional links to their respective detail pages.
- Measure the loading time of class detail pages to ensure it is ≤ 3 seconds.
- Conduct user surveys to assess the clarity and helpfulness of the information provided.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US008,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.","User Story:
As a site member, I want to access and view the profiles of other members so that I can identify potential connections and expand my network effectively.

Acceptance Criteria:
- Users should be able to view the profiles of at least 95% of other members without encountering access issues.
- Profile loading time must not exceed 3 seconds for 90% of users, ensuring a smooth browsing experience.
- A feedback mechanism should be implemented, allowing users to rate the usefulness of profiles, with a target of achieving an average rating of ≥ 4 out of 5.

Test Outline:
- Monitor access logs to ensure that 95% of profile views are successful and identify any access issues.
- Measure the loading time of member profiles to confirm it is ≤ 3 seconds for the majority of users.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US009,"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.","User Story:
As a site member, I want to search for profiles using multiple criteria such as location, interests, and skills so that I can efficiently discover potential connections that align with my networking goals.

Acceptance Criteria:
- The search function must allow filtering by at least 3 different fields, such as location, interests, and skills, with a success rate of ≥ 90% in returning relevant profiles.
- Search results should be generated within 3 seconds for 95% of queries to ensure a smooth user experience.
- Users should be able to save their search criteria for future use, with at least 80% of users reporting satisfaction with this feature in follow-up surveys.

Test Outline:
- Test the search functionality to ensure it accurately filters profiles based on the specified fields and meets the relevance criterion.
- Measure the average response time for search queries to confirm it is ≤ 3 seconds.","it (ISO 29148)
this (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US010,"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.","User Story:
As a site member, I want to set my profile to private mode, ensuring that only my name is visible to others, so that I can protect my personal information and control what details are shared publicly.

Acceptance Criteria:
- When the profile is set to private, only the user's name should be displayed, with 100% compliance verified through user testing.
- Users should be able to toggle the privacy setting within 1 minute, with a success rate of ≥ 95% for changes being applied without errors.
- A confirmation message must be sent to the user within 30 seconds after the privacy setting is updated.

Test Outline:
- Conduct tests to verify that only the name is visible when the profile is set to private.
- Measure the time taken for users to change their privacy settings and ensure it meets the ≤ 1 minute criterion.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
