id,status,rounds,original_text,final_text,overall_before,overall_after,I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,delta_overall
US001,done,9,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.","User Story:
As a member of the community, I want to showcase my personal information on my profile page in a well-organized format, allowing others to easily understand my background and interests.

Acceptance Criteria:
- Include designated fields for essential personal information such as hobbies, expertise, and professional history.
- Design the layout to be intuitive and visually engaging.
- Enable straightforward updates to the displayed information.

Test Outline:
- Examine the profile page to verify the inclusion of organized fields.
- Evaluate the layout for clarity and visual appeal.
- Test the update functionality for personal information to ensure it operates smoothly.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US002,done,9,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.","User Story:
As a registered user of the platform, I want to finalize my application for the Certified Scrum Practitioner credential so that I can achieve this esteemed professional certification.

Acceptance Criteria:
- Successfully complete and submit the application form containing all necessary details
- Receive an acknowledgment confirming the application has been submitted
- Get updates regarding the application status within a defined timeframe

Test Outline:
- Ensure the application form can be accurately filled out and submitted without any issues
- Verify that a confirmation message or email is received immediately after submission
- Monitor the application status to guarantee that updates are provided within the specified period",2,2,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US003,done,3,"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.","User Story:
As a healthcare professional, I want to enrich my profile page with more comprehensive information about my background, so that I can effectively highlight my expertise and experience to potential clients.

Acceptance Criteria:
- Provide fields for education, certifications, and specialties.
- Allow the addition of a personal statement or biography.
- Enable the upload of relevant documents or portfolio items.

Test Outline:
- Verify that all new fields are present and functional on the profile page.
- Check that users can successfully save and display the added information.
- Ensure that uploaded documents are accessible and correctly linked to the profile.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,2,1.0,1.0
US004,done,9,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.","User Story:
As a registered user of the platform, I aim to complete my application for the Certified Scrum Trainer designation, enabling me to instruct CSM and CSPO courses and certify aspiring professionals in the industry.

Acceptance Criteria:
- Successfully fill out and submit the application for the Certified Scrum Trainer title.
- Receive a notification confirming that the application has been successfully submitted.
- Complete any required assessments or interviews necessary for certification approval.

Test Outline:
- Verify that the application interface is intuitive and allows for seamless submission without technical issues.
- Check for an acknowledgment email confirming the successful submission of the application.
- Ensure that the certification process encompasses all required evaluations or interviews.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US005,done,9,"As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.","User Story:
As a fitness coach, I want to enrich my profile page with detailed personal information so that potential clients can better understand my qualifications and determine if I align with their fitness goals.

Acceptance Criteria:
- Add specific sections highlighting my certifications, specialties, and personal training philosophy.
- Craft a succinct biography that showcases my background and training approach.
- Design the profile to be visually appealing and intuitive for seamless navigation.

Test Outline:
- Review the updated profile to ensure all necessary components are present.
- Gather user feedback on the clarity and visual appeal of the new content.
- Verify that the profile updates display correctly across different devices.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,1,0.0,2,2,0.0,1,2,1.0,0.0
US006,done,9,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.","User Story:
As a certified Practitioner, I want to publish an article on the website that includes a small graphic highlighting my CSP or CST credentials, allowing readers to quickly identify my qualifications and expertise.

Acceptance Criteria:
- The article is successfully published and accessible on the website.
- The graphic representing my CSP or CST credentials is prominently featured alongside the article.
- Readers can easily recognize my certifications while engaging with the content.

Test Outline:
- Verify that the article is live and visible on the website as intended.
- Ensure the certification graphic is clearly displayed and accurately represents my credentials.
- Gather reader feedback on the visibility and clarity of my qualifications as presented in the article.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,1,0.0,2,2,0.0,1,2,1.0,0.0
US007,done,9,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","User Story:
As a fitness instructor, I want to showcase my upcoming classes on my profile and provide links to detailed descriptions for each course, enabling potential participants to easily discover and learn more about my offerings.

Acceptance Criteria:
- Display a list of upcoming classes on the instructor's profile.
- Include a clickable link for each class that directs to a detailed information page.
- Ensure that the class details are accurate and up-to-date.

Test Outline:
- Verify that the upcoming classes are correctly listed on the profile.
- Check that each class link leads to the appropriate detailed page.
- Confirm that the information on the detailed pages is current and reflects the class schedule.",2,2,2,2,0.0,2,3,1.0,2,2,0.0,1,2,1.0,2,3,1.0,1,3,2.0,0.0
US008,done,3,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.","User Story:
As a community member, I want to access the profiles of fellow members so that I can discover potential connections and expand my network.

Acceptance Criteria:
- Profiles of all members are accessible and viewable.
- Search functionality allows filtering by interests or location.
- Profile information is up-to-date and includes relevant details.

Test Outline:
- Verify that all member profiles can be accessed without errors.
- Test the search feature to ensure it filters results accurately.
- Check that profile information reflects the latest updates.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,2,1.0,1.0
US009,done,3,"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.","User Story:
As a registered member of the site, I want to filter profiles using specific criteria so that I can discover potential connections that align with my interests.

Acceptance Criteria:
- Enable search functionality based on at least three distinct profile fields.
- Display relevant profiles that match the search criteria.
- Allow users to initiate connection requests from the search results.

Test Outline:
- Test the search feature with various combinations of profile fields to ensure accurate results.
- Verify that the profiles displayed correspond to the selected criteria.
- Check that connection requests can be sent directly from the search results.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,3,2.0,1.0
US010,done,3,"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.","User Story:
As a registered member of the site, I want to set my profile to private, ensuring that only my name is visible, so that I can protect my personal information from being disclosed to others.

Acceptance Criteria:
- Enable the option to toggle profile visibility to private.
- Ensure that only the member's name is displayed when the profile is private.
- Confirm that no additional personal details are accessible to other users.

Test Outline:
- Verify that the privacy setting can be successfully activated.
- Check that only the name appears on the profile when set to private.
- Test that all other personal information is hidden from view.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,3,2.0,2,3,1.0,1,3,2.0,1.0
US011,done,3,"As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.","User Story:
As a registered member of the site, I want the option to designate my email address as private, even when my profile information is public, so that I can prevent unwanted contact from others.

Acceptance Criteria:
- Provide a toggle feature to set the email address to private.
- Ensure that the email address is hidden from all other users when marked as private.
- Confirm that the privacy setting can be changed at any time by the member.

Test Outline:
- Test the functionality of the toggle to mark the email as private.
- Verify that the email address is not visible to other users when the setting is activated.
- Check that the member can successfully change the privacy setting back and forth.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,3,2.0,1.0
US012,done,9,"As a site member, I want to send an email to any member via a form, so that we can connect.","User Story:
As a community member, I want to utilize a form that allows me to email fellow members, thereby fostering connections and improving our communication.

Acceptance Criteria:
- The form must enable users to select any member of the community for email outreach.
- Emails should be sent successfully without encountering any issues.
- Recipients should receive the emails promptly after they are sent.

Test Outline:
- Verify that the form provides a comprehensive list of community members for selection.
- Track the email system to ensure messages are dispatched without errors.
- Confirm that recipients receive their emails in a timely manner following dispatch.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US013,done,9,"As a site administrator, I want to read practicing and training applications and approve or reject them, so that only applicants who qualify can become CSPs or CSTs.","User Story:
As a site administrator, I aim to evaluate applications for training and practice programs to ascertain candidates' eligibility for CSP or CST designations, ensuring that only qualified individuals receive approval.

Acceptance Criteria:
- Review each application based on established qualification criteria.
- Systematically document the approval or rejection outcome for each candidate.
- Notify applicants promptly about their application status.

Test Outline:
- Confirm that all applications are assessed against the defined qualification standards.
- Ensure that all decisions are accurately recorded in the database.
- Validate that applicants are informed in a timely manner regarding their application outcomes.",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US014,done,9,"As a site administrator, I want to edit any site member profile, so that I can correct problems for members.","User Story:
As a site administrator, I want the ability to modify any member's profile, enabling me to resolve issues and ensure accurate information for all users.

Acceptance Criteria:
- Access to all member profiles for editing
- Ability to save changes without errors
- Confirmation message displayed after successful edits

Test Outline:
- Attempt to edit various member profiles and verify changes are saved
- Check for error messages during the editing process
- Ensure a confirmation notification appears after each successful update",2,2,2,2,0.0,2,2,0.0,2,2,0.0,1,2,1.0,2,2,0.0,1,2,1.0,0.0
US015,done,3,"As a site visitor, I want to read current news on the home page, so that I stay current on agile news.","User Story:
As a website visitor, I want to access the latest news directly from the home page so that I can remain informed about developments in the agile community.

Acceptance Criteria:
- Display the most recent news articles prominently on the home page.
- Ensure news updates are refreshed at least once every hour.
- Provide links to full articles for deeper insights.

Test Outline:
- Verify that the latest news articles are visible on the home page.
- Check the frequency of news updates to confirm they occur hourly.
- Test the links to ensure they direct to the complete articles.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,3,2.0,1.0
US016,done,3,"As a site visitor, I want to access old news that is no longer on the home page, so that I can access things I remember from the past or that others mention to me.","User Story:
As a site visitor, I want to retrieve archived news articles that are not featured on the homepage, so that I can revisit content I recall or that others reference.

Acceptance Criteria:
- Provide a dedicated section for accessing archived news articles.
- Ensure that users can search for specific articles by date or keyword.
- Allow easy navigation to find articles from previous months or years.

Test Outline:
- Verify the presence of an archive section on the site.
- Test the search functionality to ensure it returns relevant results.
- Check the navigation process to confirm users can easily locate older articles.",2,3,2,3,1.0,2,3,1.0,2,3,1.0,1,2,1.0,2,3,1.0,1,2,1.0,1.0
