ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
A1US1Ge,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.","User Story:
As a driver, I want a vehicle equipped with AI technology and real-time data analytics to respond more swiftly than human reflexes in emergency scenarios, thereby significantly lowering my chances of being involved in an accident.

Acceptance Criteria:
- The AI system must demonstrate a reaction time of less than 0.5 seconds in emergency situations, compared to the average human reaction time of 1.5 seconds.
- The vehicle should utilize real-time data from at least 10 sensors to assess and respond to potential hazards on the road.
- A reduction in accident risk by at least 30% must be validated through controlled testing scenarios.

Test Outline:
- Conduct tests to measure the AI's reaction time in various emergency situations and compare it to human response times.
- Verify that the vehicle's AI system is actively using data from the specified number of sensors during operation.
- Analyze accident data from controlled tests to confirm a minimum 30% reduction in risk compared to traditional vehicles.","it (ISO 29148)
that (ISO 29148)
more (NASA ARM)
less (NASA ARM)",3,4,1.0,3,4,1.0,3,4,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
A1US2Ge,"As a city planner, I want a traffic management system that uses AI and connected vehicles to optimize traffic flow and reduce congestion.","User Story:
As a city planner, I want to implement an AI-driven traffic management system that integrates with connected vehicles to enhance traffic flow and significantly decrease congestion levels across the city.

Acceptance Criteria:
- Achieve a minimum 20% reduction in average traffic congestion during peak hours within the first 6 months of implementation.
- Ensure real-time traffic data is collected and analyzed from at least 75% of connected vehicles in the area.
- Provide actionable insights and recommendations for traffic signal adjustments that can be executed within 2 minutes of data analysis.

Test Outline:
- Monitor and compare traffic congestion levels before and after the system's implementation to verify the targeted reduction.
- Validate the percentage of connected vehicles providing data to ensure it meets or exceeds the 75% threshold.
- Test the system's response time for generating traffic signal adjustment recommendations to confirm it operates within the 2-minute timeframe.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,4,2.0,2,5,3.0,3,5,2.0,1,5,4.0,2,4,2.0,—
A1US3Ge,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.","User Story:
As a car manufacturer, I want to create autonomous vehicles (AVs) equipped with cutting-edge sensors and sophisticated AI algorithms so that they can reliably detect their environment and execute safe driving maneuvers, enhancing overall road safety and user trust.

Acceptance Criteria:
- Achieve a perception accuracy rate of at least 95% in identifying obstacles and road conditions.
- Ensure that the AI algorithms can make safe driving decisions with a response time of ≤200 milliseconds in various driving scenarios.
- Conduct extensive testing to validate that the AVs can operate safely in 90% of real-world driving conditions without human intervention.

Test Outline:
- Perform a series of tests to measure the perception accuracy of the sensors against known obstacles and conditions.
- Time the AI's decision-making process in simulated driving scenarios to confirm it meets the response time criteria.
- Analyze the results of real-world driving tests to ensure the AVs can handle the specified percentage of driving conditions autonomously.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,5,3.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US4Ge,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.","User Story:
As a blind or visually impaired person, I want an autonomous vehicle (AV) equipped with advanced navigation capabilities so that I can travel around town safely and independently, enhancing my mobility and quality of life.

Acceptance Criteria:
- The AV must successfully navigate urban environments with a 95% accuracy rate in obstacle detection and avoidance.
- The system should provide real-time audio feedback about surroundings and navigation instructions with a response time of less than 2 seconds.
- The AV must complete a predefined route without human intervention in at least 90% of test scenarios.

Test Outline:
- Conduct a series of test drives in various urban settings to measure the accuracy of obstacle detection and navigation.
- Evaluate the responsiveness of the audio feedback system during navigation to ensure it meets the specified time criteria.
- Analyze the completion rate of the predefined routes to confirm the AV's ability to operate autonomously.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)
less (NASA ARM)",3,4,1.0,1,4,3.0,1,5,4.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US5Ge,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities.","User Story:
As an environmentalist, I want autonomous vehicles (AVs) designed with a focus on fuel efficiency so that they can significantly lower overall emissions and reduce urban pollution levels, contributing to a cleaner environment.

Acceptance Criteria:
- AVs must achieve a minimum fuel efficiency of 50 miles per gallon (mpg) or equivalent energy consumption.
- Emissions from AVs should be reduced by at least 30% compared to traditional vehicles.
- The implementation of AVs should lead to a measurable decrease in urban air pollution levels by 15% within the first year of deployment.

Test Outline:
- Conduct fuel efficiency tests on AVs to ensure they meet or exceed the 50 mpg target.
- Measure emissions from AVs and compare them to baseline data from traditional vehicles to confirm a 30% reduction.
- Analyze air quality data in urban areas before and after AV deployment to verify a 15% reduction in pollution levels.","that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,4,2.0,2,5,3.0,3,5,2.0,1,5,4.0,2,4,2.0,—
A1US6Ge,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.","User Story:
As a busy professional, I want an autonomous vehicle (AV) that can transport me to meetings or appointments while I focus on other tasks, enabling me to maximize my productivity and save at least 30 minutes of valuable time per day.

Acceptance Criteria:
- The AV must successfully navigate to the specified destination without human intervention in 95% of trips.
- The vehicle should allow for multitasking, enabling me to complete at least 2 work-related tasks during the journey.
- The AV must provide real-time updates on travel time and route changes, ensuring I am informed throughout the trip.

Test Outline:
- Track the number of successful autonomous trips versus total trips to verify the 95% success rate.
- Monitor the tasks completed during the journey to confirm that at least 2 tasks are achievable.
- Evaluate the accuracy and timeliness of real-time updates provided by the AV during the trip.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,2,4,2.0,3,4,1.0,2,5,3.0,4,5,1.0,2,5,3.0,3,4,1.0,—
A1US7Ge,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well-being of all road users.","User Story:
As a safety advocate, I want to establish comprehensive regulations and safety standards for autonomous vehicles (AVs) so that all road users can be assured of their safety and well-being while using public roads.

Acceptance Criteria:
- Develop and publish a set of at least 10 clear safety regulations for AVs that address critical areas such as collision avoidance, emergency response, and user interaction.
- Ensure that these regulations are reviewed and approved by relevant safety authorities within 6 months of proposal.
- Conduct a public awareness campaign to inform at least 75% of road users about the new AV safety standards within 3 months of their implementation.

Test Outline:
- Review the published regulations to confirm they meet the specified criteria and cover all necessary safety aspects.
- Track the approval process to ensure it is completed within the designated 6-month timeframe.
- Measure public awareness through surveys to verify that at least 75% of road users are informed about the new safety standards.","it (ISO 29148)
that (ISO 29148)
these (ISO 29148)
all (ISO 29148)
can (NASA ARM)",2,3,1.0,1,4,3.0,2,5,3.0,2,4,2.0,3,3,0.0,1,4,3.0,2,4,2.0,—
A1US8Ge,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.","User Story:
As a cybersecurity expert, I want autonomous vehicles (AVs) to incorporate advanced security protocols and measures so that they can effectively safeguard against hacking attempts and cyberattacks, ensuring the safety of passengers and data integrity.

Acceptance Criteria:
- Implement multi-layered security frameworks that reduce vulnerability to cyber threats by at least 90%.
- Conduct regular penetration testing and vulnerability assessments every quarter to identify and mitigate potential security risks.
- Ensure that all security updates and patches are deployed within 48 hours of release to maintain up-to-date protection against emerging threats.

Test Outline:
- Evaluate the effectiveness of the security measures through simulated hacking attempts to confirm a 90% reduction in vulnerabilities.
- Review the schedule and results of quarterly penetration tests to ensure compliance with the assessment criteria.
- Monitor the deployment timeline of security updates to verify that all patches are applied within the specified 48-hour window.","that (ISO 29148)
all (ISO 29148)
every (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,5,3.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US9Ge,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.","User Story:
As a data privacy advocate, I want to have comprehensive control over the data collected by autonomous vehicles (AVs) so that I can ensure it is utilized responsibly and securely, protecting user privacy and fostering trust in AV technology.

Acceptance Criteria:
- Implement a user interface that allows individuals to view and manage their data preferences, with at least 90% of users able to access it easily.
- Establish clear guidelines for data usage that comply with privacy regulations, ensuring that 100% of data handling practices are transparent and documented.
- Conduct regular audits to verify that data is being used securely, with a target of identifying and addressing any potential breaches within 24 hours.

Test Outline:
- Test the user interface for accessibility and ease of use, ensuring that at least 90% of users can navigate it without assistance.
- Review the data usage guidelines to confirm compliance with relevant privacy regulations and transparency standards.
- Monitor audit results to ensure that any identified data security issues are resolved within the specified timeframe.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,5,3.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US10Ge,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.","User Story:
As a delivery company, I want to investigate the implementation of autonomous vehicles (AVs) for last-mile delivery services so that we can enhance operational efficiency and reduce delivery costs by at least 20%.

Acceptance Criteria:
- Conduct a feasibility study to assess the potential cost savings and efficiency improvements of using AVs for last-mile deliveries.
- Identify and evaluate at least three different AV models suitable for our delivery needs, including their operational costs and capabilities.
- Develop a pilot program to test AVs in a selected urban area, aiming for a minimum of 100 successful deliveries within the first month.

Test Outline:
- Review the findings of the feasibility study to ensure it outlines potential savings and efficiency metrics.
- Analyze the performance data from the pilot program to confirm that at least 100 deliveries were completed successfully.
- Compare the operational costs of AVs against traditional delivery methods to validate the projected cost reduction.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,5,3.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
