ID,Original User Story,Rewritten User Story,Correction Reason,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.","User Story:
As a site member, I want to create a semi-structured personal description on my profile page so that other members can easily learn about my interests, skills, and background.

Acceptance Criteria:
- Users must be able to input and format their descriptions using at least 3 predefined categories (e.g., interests, skills, background).
- The description should be saved and displayed within 2 seconds after submission for a seamless user experience.
- At least 80% of users should report that the semi-structured format enhances their understanding of other members based on feedback surveys.

Test Outline:
- Test the input and formatting functionality to ensure users can categorize their descriptions correctly.
- Measure the time taken to save and display the description after submission.
- Conduct user surveys to assess the effectiveness of the semi-structured format in conveying information.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the structure of the description, includes measurable acceptance criteria, and outlines a test plan to verify the functionality.","that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US002,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.","User Story:
As a site member, I want to complete an application for the Certified Scrum Practitioner designation so that I can enhance my professional credentials and increase my career opportunities in agile project management.

Acceptance Criteria:
- The application form must be accessible and fully functional, allowing users to submit their applications within 10 minutes.
- At least 90% of submitted applications should be processed without errors within 3 business days.
- Users should receive confirmation of their application status via email within 24 hours of submission.

Test Outline:
- Test the application form for usability and measure the time taken to complete the application.
- Track the processing time of applications to ensure compliance with the 3-day requirement.
- Verify that confirmation emails are sent to users within the specified timeframe.","The original user story was clear but lacked measurable criteria and specific benefits. The improved version enhances clarity by specifying the professional value of the designation, includes measurable acceptance criteria, and outlines a structured test plan.","that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US003,"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.","User Story:
As a Practitioner, I want to enhance my profile page by adding detailed information about my qualifications and experience so that I can effectively showcase my expertise to potential clients and collaborators.

Acceptance Criteria:
- Users must be able to add at least 5 new fields to their profile, including certifications, work history, and skills, with changes saved within 3 seconds.
- The profile update process should achieve a success rate of 95% without errors.
- User feedback should reflect a satisfaction rate of 90% or higher regarding the clarity and usefulness of the additional details displayed.

Test Outline:
- Test the profile update functionality by measuring the time taken to save new details and verifying the accuracy of the displayed information.
- Conduct user surveys to assess the perceived value and clarity of the additional profile information.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the types of information to be added, includes measurable acceptance criteria, and outlines a structured testing approach to ensure the feature's effectiveness.","that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US004,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.","User Story:
As a site member, I want to complete an application to become a Certified Scrum Trainer so that I can effectively teach Certified Scrum Master (CSM) and Certified Scrum Product Owner (CSPO) courses, enabling me to certify others and enhance their professional development.

Acceptance Criteria:
- The application form must be completed and submitted within 15 minutes.
- At least 90% of applications should be processed and reviewed within 5 business days.
- Applicants should receive feedback on their application status, with a satisfaction rate of 85% or higher regarding the clarity of the communication.

Test Outline:
- Measure the time taken for users to complete the application form to ensure it meets the 15-minute requirement.
- Track the processing time of applications to confirm that 90% are reviewed within the specified timeframe.
- Conduct surveys to assess applicant satisfaction with the feedback and communication process.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the roles, capabilities, and business benefits while providing quantifiable acceptance criteria and a structured test outline.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US005,"As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.","User Story:
As a Trainer, I want to enhance my profile page with comprehensive details about my qualifications, experience, and training style so that potential clients can make informed decisions about choosing me as their trainer.

Acceptance Criteria:
- The profile page must allow for the addition of at least 300 characters of text detailing qualifications and experience.
- Users should be able to upload a professional photo and include links to certifications, with a success rate of 95% for uploads.
- The profile update process should be completed within 3 seconds for a seamless user experience.

Test Outline:
- Verify that the profile page supports the specified character limit and formats for text and images.
- Test the upload functionality to ensure it meets the success rate and speed criteria.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the type of information to be included, along with measurable acceptance criteria and a structured test outline to ensure functionality.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US006,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.","User Story:
As a Practitioner, I want to publish an article on the site that includes a small graphic displaying my Certified Scrum Professional (CSP) or Certified Scrum Trainer (CST) status, so that readers can easily recognize my qualifications and expertise.

Acceptance Criteria:
- The article must include a graphic that accurately represents my CSP or CST status, displayed prominently alongside the content.
- The graphic should load within 1 second to ensure a smooth user experience.
- At least 90% of readers should report that the graphic effectively communicates my certification status in feedback surveys.

Test Outline:
- Review the published article to confirm the graphic is correctly displayed and associated with the content.
- Measure the loading time of the graphic to ensure it meets the 1-second requirement.
- Conduct a survey to gather reader feedback on the clarity and effectiveness of the certification graphic.","The original user story was somewhat clear but lacked specificity and measurable criteria. The improved version clarifies the user's intent, specifies the capability, and outlines explicit acceptance criteria and a test plan to enhance clarity and focus on business value.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US007,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","User Story:
As a trainer, I want to display my upcoming classes on my profile with direct links to detailed pages for each class so that prospective attendees can easily access course information and register.

Acceptance Criteria:
- The profile must list at least 5 upcoming classes with accurate dates and times.
- Each class entry should include a functional link to a detailed page that loads within 3 seconds.
- At least 90% of users should report that they can easily find and access class information through the profile.

Test Outline:
- Verify that the profile displays the correct number of upcoming classes and that all links direct to the appropriate detailed pages.
- Measure the loading time of the detailed pages to ensure they meet the 3-second requirement.
- Conduct user surveys to assess the ease of finding and accessing class information.","The original user story was clear but lacked measurable criteria and specific details. The improved version enhances clarity by specifying the number of classes, performance metrics for loading times, and user satisfaction goals, making it more actionable and focused on business value.","that (ISO 29148)
appropriate (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US008,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.","User Story:
As a site member, I want to access and view the profiles of other members so that I can identify potential connections and expand my network effectively.

Acceptance Criteria:
- Users must be able to view the profiles of at least 90% of other members without encountering errors.
- Profile loading time should not exceed 3 seconds for 95% of the requests.
- A user satisfaction survey should indicate that at least 80% of members find the profile viewing feature helpful for networking.

Test Outline:
- Test the accessibility of member profiles by attempting to view a random sample of profiles and recording any errors encountered.
- Measure the loading time for profile pages to ensure it meets the 3-second requirement.
- Conduct a survey among users to gather feedback on the usefulness of the profile viewing feature.","The original user story was clear but lacked measurable criteria and specific acceptance tests. The improved version enhances clarity by specifying the capability, business relevance, and includes quantifiable acceptance criteria and a structured test outline.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US009,"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.","User Story:
As a site member, I want to search for user profiles based on specific fields such as location, interests, and skills so that I can efficiently identify potential connections that align with my networking goals.

Acceptance Criteria:
- The search function must allow filtering by at least three fields (location, interests, skills) with results returned in under 3 seconds.
- The search results should accurately reflect the criteria entered, achieving at least 85% relevance based on user feedback.
- Users should be able to save their search criteria for future use, with at least 70% of users reporting satisfaction with this feature.

Test Outline:
- Test the search functionality by entering various criteria and measuring the response time and relevance of the results.
- Conduct user surveys to gather feedback on the effectiveness and satisfaction of the search and save features.","The original user story was clear but lacked specificity and measurable criteria. The improved version enhances clarity by specifying the fields for searching, outlines explicit acceptance criteria, and provides a structured test plan to ensure the functionality meets user needs.","this (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",4,4,0.0,4,4,0.0,4,5,1.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
US010,"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.","User Story:
As a site member, I want to set my profile to private mode, where only my name is visible to others, so that I can protect my personal information and control what details are shared.

Acceptance Criteria:
- Users must be able to toggle the privacy setting, ensuring that only their name is displayed to other members when the profile is private.
- The change in privacy settings should be applied within 3 seconds, with a confirmation message displayed to the user.
- At least 90% of users should report feeling more secure about their information after enabling the private profile option.

Test Outline:
- Test the functionality of the privacy toggle to ensure it correctly updates the visibility settings within the specified time.
- Conduct user surveys to assess the perceived security and satisfaction with the private profile feature.","The original user story was clear but lacked measurable criteria and specific acceptance tests. The improved version enhances clarity by specifying the capability, business relevance, and includes quantifiable acceptance criteria and a structured test outline.","secure (ISO 29148)
it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)
more (NASA ARM)",4,4,0.0,4,4,0.0,5,5,0.0,4,5,1.0,4,5,1.0,3,5,2.0,4,5,1.0,—
