ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
A1US1O1,"As a passenger, I want the AV to detect hazards in real-time using AI sensors, so that my safety is ensured.","User Story:
As a passenger, I want the autonomous vehicle (AV) to utilize AI sensors for real-time hazard detection so that I can be assured of my safety during travel.

Acceptance Criteria:
- The AV must identify and respond to at least 95% of potential hazards within a 10-meter radius in real-time.
- The system should provide alerts to passengers within 2 seconds of detecting a hazard.
- Conduct safety tests to demonstrate that the AV can successfully navigate around detected hazards without compromising passenger safety in 99% of scenarios.

Test Outline:
- Simulate various hazard scenarios and measure the detection rate of the AI sensors to ensure it meets the 95% threshold.
- Time the response of the alert system to confirm it activates within the 2-second requirement.
- Review test results from safety trials to verify that the AV maintains a 99% success rate in safe navigation around hazards.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",3,5,2.0,1,4,3.0,3,5,2.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US2O1,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.","User Story:
As a fleet manager, I want to access real-time performance data of autonomous vehicles (AV) through IoT technology so that I can proactively identify maintenance needs and optimize fleet operations.

Acceptance Criteria:
- Ensure that performance data is updated and accessible every 5 minutes or less.
- Implement alerts for any performance anomalies that exceed predefined thresholds (e.g., engine temperature > 90°C).
- Provide a dashboard that displays key performance indicators (KPIs) for each vehicle, including mileage, fuel efficiency, and maintenance status.

Test Outline:
- Monitor the frequency of data updates to confirm they occur within the specified time frame.
- Simulate performance anomalies and verify that alerts are triggered appropriately.
- Review the dashboard to ensure all KPIs are accurately displayed and reflect the latest data.","that (ISO 29148)
all (ISO 29148)
every (ISO 29148)
can (NASA ARM)
less (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
A1US3O1,"As a driver, I want the AV to predict and prevent collisions using AI, so that accidents are significantly reduced.","User Story:
As a driver, I want the autonomous vehicle (AV) to utilize artificial intelligence to anticipate and avert potential collisions, so that the incidence of accidents is minimized by at least 50%.

Acceptance Criteria:
- The AI system must analyze real-time data from sensors to predict potential collision scenarios with a 90% accuracy rate.
- Implement preventive measures that successfully avoid collisions in at least 95% of identified high-risk situations.
- Ensure that the system can process and respond to potential hazards within 1 second of detection.

Test Outline:
- Conduct simulations to evaluate the AI's predictive accuracy in various driving scenarios and confirm it meets the 90% threshold.
- Monitor the effectiveness of preventive measures during test drives to ensure they successfully avoid collisions in 95% of high-risk cases.
- Measure the response time of the system to potential hazards to verify it operates within the 1-second requirement.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,2,5,3.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US4O1,"As a transportation executive, I want the AV to optimize fuel consumption with AI, so that operational costs are minimized.","User Story:
As a transportation executive, I want the autonomous vehicle (AV) to utilize artificial intelligence for optimizing fuel efficiency, so that we can achieve a reduction in operational costs by at least 15%.

Acceptance Criteria:
- The AI system must analyze driving patterns and adjust routes to decrease fuel consumption by a minimum of 15%.
- Fuel efficiency metrics should be tracked and reported monthly to ensure continuous improvement.
- The AV should demonstrate a measurable reduction in fuel costs over a 3-month period, with a target of at least 10% savings.

Test Outline:
- Evaluate the AI's fuel consumption optimization by comparing fuel usage before and after implementation.
- Review monthly reports to confirm that the fuel efficiency improvements meet or exceed the 15% target.
- Analyze operational cost reports over the specified period to validate the claimed savings.","that (ISO 29148)
can (NASA ARM)",4,5,1.0,3,4,1.0,4,5,1.0,2,5,3.0,4,5,1.0,2,5,3.0,3,5,2.0,—
A1US5O1,"As a passenger, I want the AV to navigate autonomously through traffic using AI and IoT, so that my travel is seamless and stress-free.","User Story:
As a passenger, I want the autonomous vehicle (AV) to utilize advanced AI and IoT technologies for navigating through traffic, so that my travel experience is smooth, efficient, and free from stress.

Acceptance Criteria:
- The AV must successfully navigate through urban traffic with a minimum success rate of 95% without human intervention.
- The system should respond to real-time traffic conditions and reroute within 10 seconds to avoid delays.
- The AV should maintain an average travel time that is at least 20% shorter than traditional navigation methods during peak hours.

Test Outline:
- Monitor the AV's navigation performance over multiple trips to ensure it meets the 95% success rate.
- Simulate various traffic scenarios to verify the system's ability to reroute within the specified time frame.
- Compare the average travel times of the AV against traditional navigation methods to confirm the 20% improvement.","efficient (ISO 29148)
it (ISO 29148)
that (ISO 29148)",2,4,2.0,1,4,3.0,3,5,2.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US6O1,"As a commuter, I want the AV to handle driving tasks autonomously, so that I can use my travel time productively.","User Story:
As a commuter, I want the autonomous vehicle (AV) to manage all driving tasks independently so that I can utilize my travel time for productive activities, enhancing my overall efficiency.

Acceptance Criteria:
- The AV must demonstrate the ability to navigate and drive autonomously in 95% of urban and highway scenarios.
- The system should ensure a minimum safety rating of 4.5 out of 5 during autonomous operation, as measured by industry standards.
- Users should report a satisfaction rate of at least 80% regarding the productivity of their travel time while the AV is in control.

Test Outline:
- Conduct a series of driving tests in various environments to verify the AV's autonomous navigation capabilities and success rate.
- Evaluate the safety performance of the AV through third-party assessments to confirm it meets the required safety rating.
- Survey users post-commute to gather feedback on their productivity levels while using the AV.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",4,5,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
A1US7O1,"As an environmental advocate, I want the AV to reduce emissions through AI-optimized routes, so that it contributes to a cleaner environment.","User Story:
As an environmental advocate, I want the autonomous vehicle (AV) to minimize emissions by utilizing AI-optimized routing algorithms, so that it significantly contributes to reducing carbon footprints and promoting a cleaner environment.

Acceptance Criteria:
- Achieve a reduction in emissions by at least 20% compared to traditional routing methods.
- Ensure that the AI routing system processes and optimizes routes in real-time, with updates occurring every 5 seconds.
- Provide a report detailing the emissions savings achieved over a minimum of 1,000 miles driven using the optimized routes.

Test Outline:
- Measure and compare emissions data from the AV using AI-optimized routes against standard routes to confirm the 20% reduction.
- Monitor the frequency of route updates to ensure they occur within the 5-second timeframe.
- Analyze the emissions report generated after 1,000 miles to validate the claimed savings.","it (ISO 29148)
that (ISO 29148)
every (ISO 29148)",3,4,1.0,3,4,1.0,4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
A1US8O1,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes informed decisions quickly.","User Story:
As a software engineer, I want the autonomous vehicle (AV) system to effectively analyze and process extensive sensor data through the integration of AI and IoT technologies, so that it can make rapid and informed decisions in real-time scenarios.

Acceptance Criteria:
- The system must process at least 1,000 sensor data inputs per second with a latency of less than 100 milliseconds.
- AI algorithms should achieve an accuracy rate of 95% or higher in decision-making based on the processed data.
- The IoT framework must support seamless connectivity with a minimum uptime of 99.9% to ensure continuous data flow.

Test Outline:
- Conduct performance tests to measure the number of sensor data inputs processed per second and the associated latency.
- Evaluate the accuracy of the AI decision-making process by comparing outcomes against a validated dataset.
- Monitor the IoT system's connectivity and uptime over a defined period to confirm it meets the specified reliability criteria.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)
less (NASA ARM)",2,4,2.0,2,4,2.0,3,5,2.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US9O1,"As a business strategist, I want to leverage AI and IoT in AVs to explore new market opportunities, so that the company can expand its revenue streams.","User Story:
As a business strategist, I want to integrate AI and IoT technologies in autonomous vehicles (AVs) to identify and capitalize on emerging market opportunities, so that the company can significantly diversify its revenue streams and enhance competitive advantage.

Acceptance Criteria:
- Conduct a comprehensive market analysis to identify at least 3 new revenue opportunities within 6 months.
- Develop a strategic plan that outlines the implementation of AI and IoT in AVs, with measurable goals for revenue growth of at least 15% within the first year.
- Establish partnerships with at least 2 technology providers to facilitate the integration of AI and IoT solutions in AVs by the end of the fiscal year.

Test Outline:
- Review the market analysis report to ensure it identifies the targeted number of new opportunities.
- Evaluate the strategic plan for clarity on implementation steps and projected revenue growth metrics.
- Confirm the establishment of partnerships by checking signed agreements or MOUs with the identified technology providers.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,3,5,2.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US10O1,"As a network administrator, I want the AV to maintain low-latency connectivity through IoT, so that it can communicate effectively for safe operations.","User Story:
As a network administrator, I want the antivirus (AV) system to ensure low-latency connectivity across IoT devices so that they can communicate efficiently, thereby enhancing operational safety and minimizing risks.

Acceptance Criteria:
- Maintain an average latency of less than 50 milliseconds for all IoT device communications.
- Ensure that 95% of connectivity instances achieve latency below 100 milliseconds.
- Implement monitoring tools to track and report latency metrics in real-time.

Test Outline:
- Conduct latency tests on IoT device communications to verify that the average latency remains below the specified threshold.
- Analyze connectivity logs to confirm that at least 95% of instances meet the latency requirement.
- Review monitoring tool reports to ensure they accurately reflect real-time latency performance.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)
less (NASA ARM)",4,4,0.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
