ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
US001,"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.","User Story:
As a Public User, I want to efficiently search for information regarding properties, county services, processes, and other general inquiries so that I can easily access relevant and publicly available data to make informed decisions.

Acceptance Criteria:
- The search functionality must return results within 3 seconds for at least 95% of queries.
- Users should be able to filter search results by category (e.g., properties, services, processes) with at least 80% accuracy in relevance.
- The system should provide at least 10 relevant results for each search query to ensure comprehensive information access.

Test Outline:
- Measure the response time of the search function to confirm it meets the 3-second requirement for 95% of searches.
- Conduct user testing to evaluate the accuracy of the filtering options and ensure they meet the 80% relevance threshold.
- Perform multiple search queries to verify that at least 10 relevant results are consistently returned for each query.","it (ISO 29148)
that (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US002,"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.","User Story:
As a ProspectiveApplicant, I want to thoroughly investigate the requirements and choose a specific service type, so that I can efficiently identify the appropriate service or application to initiate through the online portal.

Acceptance Criteria:
- Access a comprehensive list of services with detailed requirements available for review.
- Successfully filter and select a service type based on personal criteria within 3 minutes.
- Ensure that the selected service type provides clear instructions for the next steps in the application process.

Test Outline:
- Verify that the list of services is complete and includes all necessary requirements for each option.
- Measure the time taken to filter and select a service type to confirm it meets the 3-minute target.
- Check that the instructions for the next steps are clearly displayed after a service type is selected.","it (ISO 29148)
that (ISO 29148)
appropriate (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US003,"As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.","User Story:
As an Applicant, I want to seek pre-application assistance so that I can obtain timely responses regarding meetings or information related to my application process.

Acceptance Criteria:
- Submit a request for pre-application assistance and receive an acknowledgment within 24 hours.
- Ensure that a meeting or information request is scheduled or provided within 3 business days of the initial request.
- Track the status of the pre-application assistance request to confirm that it is addressed within the specified timeframe.

Test Outline:
- Verify that an acknowledgment email is sent within the 24-hour window after the request submission.
- Check the scheduling system to confirm that a meeting or information is arranged within the 3-day period.
- Review the request tracking system to ensure that the status updates are provided as expected.","it (ISO 29148)
that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US004,"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.","User Story:
As a Customer, I want to establish a user account for the Customer Portal so that I can securely log in and execute transactions that necessitate user authentication, enhancing my overall experience.

Acceptance Criteria:
- Successfully complete the account creation process, including email verification, within 10 minutes.
- Ensure that the user can log in to the Customer Portal with their new account credentials without errors.
- Confirm that the user can perform at least 3 different types of transactions post-authentication.

Test Outline:
- Verify the account creation process by checking if the email verification link is sent and activated within the specified time.
- Attempt to log in with the newly created account to ensure successful access to the portal.
- Test the execution of various transactions to confirm that the user can perform them after logging in.","that (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
US005,"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.","User Story:
As an Applicant, I want to submit my application online so that I can efficiently provide my personal information, plans, and necessary documents to initiate a transaction with the County, ensuring a streamlined process.

Acceptance Criteria:
- Successfully upload all required documents and information in a single submission.
- Receive a confirmation notification within 10 minutes of submission indicating the application has been received.
- Ensure that the application is processed within 5 business days, with the option to track its status online.

Test Outline:
- Verify that all required fields and documents can be submitted through the online application form.
- Check the applicant's email for a confirmation notification within the specified time frame after submission.
- Monitor the application processing time to confirm it meets the 5 business day requirement and validate the online tracking feature.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US006,"As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.","User Story:
As an Applicant, I want to upload supporting documentation for my application so that I can meet all necessary documentation requirements and expedite the review process.

Acceptance Criteria:
- Successfully upload all required supporting documents in the specified formats (e.g., PDF, JPEG) without errors.
- Receive a confirmation notification upon successful submission of the documentation within 2 minutes.
- Ensure that all uploaded documents are accessible for review by the application processing team within 5 minutes of submission.

Test Outline:
- Test the upload functionality by submitting various document types to confirm they meet the format requirements.
- Monitor the time taken to receive the confirmation notification after submission to ensure it is within the specified timeframe.
- Verify that the application processing team can access the uploaded documents promptly after submission.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US007,"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.","User Story:
As an Applicant, I want to complete my fee payment online so that I can promptly settle any outstanding charges related to the services I have requested or received from the County, ensuring compliance and avoiding delays.

Acceptance Criteria:
- The payment process must allow applicants to pay fees securely online within 5 minutes.
- Confirmation of payment should be sent to the applicant's email within 2 minutes of transaction completion.
- The system must accurately reflect the updated account status, showing that the outstanding charge has been cleared immediately after payment.

Test Outline:
- Test the online payment system to ensure that the fee payment can be completed within the specified time frame.
- Verify that a confirmation email is received by the applicant within the designated time after payment.
- Check the applicant's account status to confirm that the outstanding charge is updated in real-time post-payment.","that (ISO 29148)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US008,"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.","User Story:
As an Applicant, I want to track the status of my transaction so that I can gain clear insights into the provisioning process of my service, including details on service levels, associated fees, plan reviews, permits, and inspection outcomes.

Acceptance Criteria:
- Provide real-time updates on the transaction status, including at least 5 key milestones (e.g., service level confirmation, fee assessment, plan review completion, permit approval, and inspection results).
- Ensure that the status information is accessible within 2 clicks from the main dashboard.
- Allow users to receive notifications via email or SMS for any changes in the transaction status.

Test Outline:
- Verify that the transaction status updates reflect the defined milestones and are displayed accurately.
- Check the navigation path to ensure users can access the status information within the specified number of clicks.
- Test the notification system to confirm that users receive alerts for any status changes in a timely manner.","that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US009,"As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.","User Story:
As an Applicant, I want to update my application details so that I can ensure that all my information is accurate and up-to-date, increasing my chances of a successful application.

Acceptance Criteria:
- The system must allow applicants to modify at least 5 key fields in their application.
- Changes should be saved successfully, with a confirmation message displayed within 3 seconds of submission.
- Applicants must be able to review their updated application to verify that all changes are reflected accurately.

Test Outline:
- Attempt to modify various fields in the application and confirm that the system allows changes to the specified number of fields.
- Check the response time for the confirmation message after submitting changes to ensure it meets the time requirement.
- Review the application post-modification to ensure that all updates are correctly displayed.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
be able to (NASA ARM)
can (NASA ARM)",3,4,1.0,3,4,1.0,4,4,0.0,3,5,2.0,4,5,1.0,2,5,3.0,3,4,1.0,—
US010,"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.","User Story:
As a Staff member, I want to conduct a thorough Completeness Review of applications so that I can accurately determine their readiness for subsequent technical evaluations, ensuring a streamlined review process.

Acceptance Criteria:
- Review all required application components and confirm that 100% of necessary documents are submitted.
- Ensure that the review process is completed within 48 hours of application receipt.
- Document and communicate the completeness status to the applicant, achieving a response rate of 95% or higher.

Test Outline:
- Verify that all required documents are present in the application by cross-referencing with the checklist.
- Track the time taken to complete the review and confirm it meets the 48-hour requirement.
- Check the communication logs to ensure that the completeness status is sent to applicants within the specified timeframe.","it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)",3,5,2.0,3,4,1.0,4,5,1.0,3,5,2.0,4,5,1.0,2,5,3.0,3,5,2.0,—
