ID,Abstract,US_num,LLM,role_shorten,User story,Implied ethical needs,Non-Functional Requirements,atomic,minimal,Conceptually sound,Problem-oriented,Unambiguous,Conflict-free,"Conflict-free, us",Estimatable,Independent,Unique,"Unique, us",Meas-ends relation,"Meas-ends relation, us"
A1US1Ge,A1,US1,Gemini_1.5_flash,driver,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",N/A,Performance,conjunctions,minimal,Conceptually sound,problem-oriented,General,Conflict-free,,No,No,unique,,,
A1US2Ge,A1,US2,Gemini_1.5_flash,city planner,"As a city planner, I want a traffic management system that uses AI and connected vehicles to optimize traffic flow and reduce congestion.",N/A,N/A,conjunctions,minimal,Conceptually sound,problem-oriented,General,conflict,A1US9Ge,No,No,unique,,,
A1US3Ge,A1,US3,Gemini_1.5_flash,car manufacturer,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",Non-maleficence(Safety),Safety - Accuracy - Reliability,conjunctions,minimal,Conceptually sound,solution_oriented,General,Conflict-free,,No,No,,,Mean,A1US6Ge
A1US4Ge,A1,US4,Gemini_1.5_flash,visually impaired person,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.",N/A,N/A,conjunctions,minimal,Conceptually sound,problem-oriented,Unambiguous,Conflict-free,,No,independent,unique,,,
A1US5Ge,A1,US5,Gemini_1.5_flash,environmentalist,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities.",Sustainability,Efficiency,conjunctions,minimal,Conceptually sound,problem-oriented,Unambiguous,Conflict-free,,No,No,unique,,,
A1US6Ge,A1,US6,Gemini_1.5_flash,professional,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.",N/A,N/A,conjunctions,minimal,Conceptually sound,problem-oriented,Unambiguous,Conflict-free,,No,No,,,End,A1US3Ge
A1US7Ge,A1,US7,Gemini_1.5_flash,advocate,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well-being of all road users.",Non-maleficence(Safety) - Responsibility,N/A,conjunctions,minimal,Conceptually sound,problem-oriented,Vagueness,Conflict-free,,estimatable,independent,unique,,,
A1US8Ge,A1,US8,Gemini_1.5_flash,cybersecurity expert,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.",Non-maleficence(Security),Security,atomic,minimal,Conceptually sound,problem-oriented,General,Conflict-free,,No,independent,unique,,,
A1US9Ge,A1,US9,Gemini_1.5_flash,advocate,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.",Privacy - Responsibility - Non-maleficence(Security) - Human Autonomy,Privacy - Security,conjunctions,minimal,Conceptually sound,problem-oriented,Vagueness,source,A1US2Ge,estimatable,independent,unique,,,
A1US10Ge,A1,US10,Gemini_1.5_flash,company,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.",N/A,N/A,atomic,minimal,no_feature,,,,,,,,,,
A1US1Ll,A1,US1,Llama 3.1 70b,researcher,"As a researcher, I want to explore the possibilities of Artificial Intelligence (AI) in enabling the smart industrial revolution, so that I can contribute to the development of innovative solutions for industry 4.0.",N/A,N/A,atomic,brackets,no_feature,,,,,,,,,,
A1US2Ll,A1,US2,Llama 3.1 70b,engineer,"As an engineer, I want to design and develop Internet of Things (IoT) infrastructure that can collect and process data from various sources, including storage, actuation, sensing, advanced services, and communication technologies, so that I can enable the transformation towards fully smart Autonomous Vehicles (AVs).",N/A,N/A,conjunctions,brackets,no_valid_role,solution_oriented,General,Conflict-free,,No,No,unique,,,
A1US3Ll,A1,US3,Llama 3.1 70b,safety expert,"As a safety expert, I want to utilize AI and IoT to reduce the risk of accidents and improve vehicle safety, so that I can minimize the likelihood of human error and ensure a safer driving experience.",Non-maleficence(Safety),Safety,conjunctions,minimal,Conceptually sound,problem-oriented,General,Conflict-free,,No,No,,,Mean,A1US4Ll
A1US4Ll,A1,US4,Llama 3.1 70b,driver,"As a driver, I want to benefit from the increased safety and reduced accidents that Autonomous Vehicles (AVs) can provide, so that I can feel more confident and secure on the road.",Non-maleficence(Safety),Safety - Reliability,conjunctions,brackets,Conceptually sound,problem-oriented,General,Conflict-free,,No,No,,,End,A1US3Ll
A1US5Ll,A1,US5,Llama 3.1 70b,business owner,"As a business owner, I want to explore the new market opportunities and revenue streams that Autonomous Vehicles (AVs) can offer, so that I can expand my business and stay competitive in the industry.",N/A,N/A,conjunctions,brackets,no_feature,,,,,,,,,,
A1US6Ll,A1,US6,Llama 3.1 70b,manager,"As a fleet manager, I want to reduce fuel consumption and emissions by using Autonomous Vehicles (AVs), so that I can minimize my organization's environmental footprint and save on fuel costs.",Sustainability,Efficiency,conjunctions,brackets,Conceptually sound,problem-oriented,Unambiguous,Conflict-free,,No,No,unique,,,
A1US7Ll,A1,US7,Llama 3.1 70b,passenger,"As a passenger, I want to enjoy the increased comfort and convenience of Autonomous Vehicles (AVs), including the release of driver time and business opportunities, so that I can be more productive and relaxed during my journey.",N/A,N/A,conjunctions,brackets,no_feature,,,,,,,,,,
A1US8Ll,A1,US8,Llama 3.1 70b,developer,"As a developer, I want to design and develop AI-powered Autonomous Vehicles (AVs) that can process large-scale data from sensors and devices, so that I can create a more efficient and reliable transportation system.",N/A,Scalability,conjunctions,brackets,no_valid_role,solution_oriented,Vagueness,Conflict-free,,No,No,,,Mean,A1US9Ll
