ID,Original User Story,Rewritten User Story,Fuzzy Terms (with source),I_before,I_after,delta_I,N_before,N_after,delta_N,V_before,V_after,delta_V,E_before,E_after,delta_E,S_before,S_after,delta_S,T_before,T_after,delta_T,overall_before,overall_after,delta_overall,Low-score Explanation (<2)
A1US1Ll,"As a researcher, I want to explore the possibilities of Artificial Intelligence (AI) in enabling the smart industrial revolution, so that I can contribute to the development of innovative solutions for industry 4.0.","User Story:
As a researcher, I want to investigate the applications of Artificial Intelligence (AI) in facilitating the smart industrial revolution, so that I can actively contribute to the creation of cutting-edge solutions for Industry 4.0.

Acceptance Criteria:
- Identify at least 5 specific AI technologies that can be applied to enhance industrial processes.
- Develop a framework outlining 3 innovative solutions that leverage AI for Industry 4.0 applications.
- Present findings in a report that includes measurable impacts, such as potential efficiency improvements of ≥20% in production processes.

Test Outline:
- Review literature and case studies to compile a list of AI technologies relevant to industrial applications.
- Create and validate the proposed framework with industry experts to ensure its feasibility and relevance.
- Assess the report for clarity and comprehensiveness, ensuring it includes quantifiable benefits of the proposed solutions.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",3,5,2.0,1,4,3.0,3,5,2.0,2,5,3.0,2,5,3.0,1,5,4.0,2,5,3.0,—
A1US2Ll,"As an engineer, I want to design and develop Internet of Things (IoT) infrastructure that can collect and process data from various sources, including storage, actuation, sensing, advanced services, and communication technologies, so that I can enable the transformation towards fully smart Autonomous Vehicles (AVs).","User Story:
As an engineer, I want to architect and implement a robust Internet of Things (IoT) infrastructure capable of aggregating and processing data from diverse sources, such as storage systems, actuators, sensors, advanced service platforms, and communication technologies, so that I can facilitate the transition to fully autonomous smart vehicles (AVs) with enhanced operational efficiency and safety.

Acceptance Criteria:
- Develop a scalable IoT architecture that can handle data input from at least 10 different sensor types and communication protocols.
- Ensure data processing latency is reduced to less than 100 milliseconds for real-time decision-making.
- Achieve a minimum data accuracy rate of 95% for all collected and processed information to support AV functionalities.

Test Outline:
- Validate the IoT infrastructure by testing its ability to integrate and process data from the specified number of sensor types and protocols.
- Measure the data processing latency during peak loads to confirm it meets the target threshold.
- Conduct accuracy assessments on the processed data to ensure it meets or exceeds the required accuracy rate.","robust (ISO 29148)
it (ISO 29148)
that (ISO 29148)
all (ISO 29148)
can (NASA ARM)
less (NASA ARM)",2,4,2.0,1,4,3.0,3,4,1.0,2,5,3.0,2,5,3.0,1,5,4.0,2,4,2.0,—
A1US3Ll,"As a safety expert, I want to utilize AI and IoT to reduce the risk of accidents and improve vehicle safety, so that I can minimize the likelihood of human error and ensure a safer driving experience.","User Story:
As a safety expert, I want to implement AI and IoT technologies to enhance vehicle safety measures so that I can significantly decrease the risk of accidents caused by human error, ultimately providing a safer driving experience for all users.

Acceptance Criteria:
- Achieve a reduction in accident rates by at least 30% within the first year of implementation.
- Integrate AI-driven analytics to identify and mitigate at least 5 common human error scenarios in driving.
- Ensure that IoT devices provide real-time safety alerts to drivers with a response time of less than 2 seconds.

Test Outline:
- Analyze accident data before and after the implementation to confirm a 30% reduction in incidents.
- Review AI analytics reports to verify the identification and mitigation of the targeted human error scenarios.
- Test the response time of IoT safety alerts to ensure they meet the 2-second requirement.","that (ISO 29148)
all (ISO 29148)
can (NASA ARM)
less (NASA ARM)",2,4,2.0,2,4,2.0,3,5,2.0,2,5,3.0,2,5,3.0,1,5,4.0,2,5,3.0,—
A1US4Ll,"As a driver, I want to benefit from the increased safety and reduced accidents that Autonomous Vehicles (AVs) can provide, so that I can feel more confident and secure on the road.","User Story:
As a driver, I want to leverage the enhanced safety features and lower accident rates offered by Autonomous Vehicles (AVs) so that I can experience greater confidence and security while driving.

Acceptance Criteria:
- Demonstrate a reduction in accident rates by at least 30% when using AV technology compared to traditional vehicles.
- Provide data showing that 90% of users report feeling more secure while driving in AVs.
- Ensure that safety features, such as collision avoidance and emergency braking, are operational in 100% of AVs deployed.

Test Outline:
- Analyze accident statistics before and after the implementation of AVs to confirm the targeted reduction.
- Conduct user surveys to measure the percentage of drivers who feel more secure in AVs.
- Test the functionality of safety features in various driving scenarios to ensure they are fully operational.","secure (ISO 29148)
that (ISO 29148)
can (NASA ARM)
more (NASA ARM)
greater (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,2,5,3.0,2,5,3.0,1,5,4.0,2,5,3.0,—
A1US5Ll,"As a business owner, I want to explore the new market opportunities and revenue streams that Autonomous Vehicles (AVs) can offer, so that I can expand my business and stay competitive in the industry.","User Story:
As a business owner, I want to identify and evaluate emerging market opportunities and potential revenue streams associated with Autonomous Vehicles (AVs) so that I can strategically expand my business and maintain a competitive edge in the industry.

Acceptance Criteria:
- Conduct a comprehensive market analysis to identify at least 3 new revenue opportunities related to AVs within the next quarter.
- Develop a business case for each identified opportunity, including projected revenue growth of at least 15% over the next year.
- Present findings and recommendations to stakeholders within 6 weeks to facilitate informed decision-making.

Test Outline:
- Review the market analysis report to ensure it includes at least 3 viable revenue opportunities.
- Validate the business cases for each opportunity by checking the projected revenue growth calculations.
- Schedule and conduct a presentation with stakeholders to confirm that the findings are communicated effectively.","it (ISO 29148)
that (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,3,5,2.0,2,5,3.0,3,5,2.0,1,5,4.0,2,5,3.0,—
A1US6Ll,"As a fleet manager, I want to reduce fuel consumption and emissions by using Autonomous Vehicles (AVs), so that I can minimize my organization's environmental footprint and save on fuel costs.","User Story:
As a fleet manager, I want to implement Autonomous Vehicles (AVs) to decrease fuel consumption and emissions, so that I can significantly lower my organization's environmental impact and achieve substantial savings on fuel expenses.

Acceptance Criteria:
- Achieve a minimum reduction of 20% in fuel consumption within the first year of AV deployment.
- Decrease greenhouse gas emissions by at least 25% compared to the previous year’s metrics.
- Realize a cost savings of at least $10,000 annually in fuel expenses due to the use of AVs.

Test Outline:
- Monitor fuel consumption data before and after AV implementation to confirm a 20% reduction.
- Calculate and compare emissions data from the previous year to validate a 25% decrease.
- Analyze fuel cost reports to ensure that annual savings meet or exceed the $10,000 target.","that (ISO 29148)
can (NASA ARM)",3,4,1.0,2,4,2.0,4,5,1.0,2,5,3.0,2,5,3.0,1,5,4.0,2,5,3.0,—
A1US7Ll,"As a passenger, I want to enjoy the increased comfort and convenience of Autonomous Vehicles (AVs), including the release of driver time and business opportunities, so that I can be more productive and relaxed during my journey.","User Story:
As a passenger, I want to experience enhanced comfort and convenience while using Autonomous Vehicles (AVs), which will free up driver time and create new business opportunities, so that I can maximize my productivity and relaxation throughout my journey.

Acceptance Criteria:
- The AV must provide a comfortable seating arrangement that meets or exceeds a satisfaction rating of 85% from passengers.
- Passengers should have access to at least 3 productivity tools (e.g., Wi-Fi, charging ports, and entertainment options) during their ride.
- The AV should demonstrate a reduction in travel stress levels, with at least 70% of passengers reporting a more relaxed experience compared to traditional vehicles.

Test Outline:
- Conduct passenger surveys to assess comfort levels and satisfaction ratings after using the AV.
- Monitor the availability and functionality of productivity tools during rides to ensure they meet the specified criteria.
- Analyze passenger feedback to evaluate changes in stress levels and overall journey experience compared to conventional transportation methods.","that (ISO 29148)
can (NASA ARM)
more (NASA ARM)",3,4,1.0,3,4,1.0,4,5,1.0,3,5,2.0,3,5,2.0,2,5,3.0,3,5,2.0,—
A1US8Ll,"As a developer, I want to design and develop AI-powered Autonomous Vehicles (AVs) that can process large-scale data from sensors and devices, so that I can create a more efficient and reliable transportation system.","User Story:
As a developer, I want to architect and implement AI-driven Autonomous Vehicles (AVs) capable of analyzing extensive data from various sensors and devices, so that I can contribute to a transportation system that is significantly more efficient and reliable, ultimately reducing travel times by at least 20%.

Acceptance Criteria:
- The AV system must process and analyze data from a minimum of 10 different sensor types in real-time.
- Achieve a data processing latency of less than 100 milliseconds to ensure timely decision-making.
- Demonstrate a 30% improvement in route optimization compared to traditional navigation systems.

Test Outline:
- Validate the system's ability to integrate and process data from the specified number of sensors under various conditions.
- Measure the latency of data processing during real-time operations to confirm it meets the target.
- Compare the route efficiency of the AV system against traditional systems to ensure the required improvement is achieved.","efficient (ISO 29148)
reliable (ISO 29148)
it (ISO 29148)
that (ISO 29148)
timely (NASA ARM)
can (NASA ARM)
more (NASA ARM)
less (NASA ARM)",2,4,2.0,1,4,3.0,3,5,2.0,2,5,3.0,2,5,3.0,1,5,4.0,2,5,3.0,—
A1US9Ll,"As a regulator, I want to ensure that Autonomous Vehicles (AVs) meet the highest safety standards and are tested rigorously to minimize risk, so that I can protect the public and ensure a safe and reliable transportation system.","User Story:
As a regulator, I want to establish and enforce stringent safety standards for Autonomous Vehicles (AVs) and mandate comprehensive testing protocols so that I can safeguard public welfare and maintain a trustworthy transportation system.

Acceptance Criteria:
- Develop a set of safety standards that AVs must meet, with at least 95% compliance during testing.
- Require that all AVs undergo rigorous testing scenarios, including at least 100 different driving conditions, to assess performance and safety.
- Implement a monitoring system to track AV incidents, aiming for a reduction in reported safety issues by 50% within the first year of regulation.

Test Outline:
- Review compliance reports to ensure that AVs meet the established safety standards with the required percentage.
- Analyze testing data to confirm that the mandated number of driving conditions has been evaluated for each AV.
- Monitor incident reports over the year to verify a significant decrease in safety-related issues.","that (ISO 29148)
significant (ISO 29148)
all (ISO 29148)
can (NASA ARM)",2,4,2.0,1,4,3.0,3,5,2.0,2,5,3.0,2,5,3.0,1,5,4.0,2,5,3.0,—
A1US10Ll,"As a commuter, I want to benefit from the reduced traffic congestion and parking needs that Autonomous Vehicles (AVs) can provide, so that I can save time and reduce stress during my daily commute.","User Story:
As a commuter, I want to leverage the advantages of Autonomous Vehicles (AVs) to minimize traffic congestion and decrease parking requirements, so that I can save at least 30 minutes on my commute and significantly lower my stress levels.

Acceptance Criteria:
- Achieve a reduction in average traffic congestion by at least 20% during peak hours due to the integration of AVs.
- Ensure that parking needs are reduced by 50% in high-demand areas as a result of AV utilization.
- Provide user feedback indicating a 40% decrease in reported commute-related stress levels after adopting AVs.

Test Outline:
- Analyze traffic data before and after AV implementation to confirm the reduction in congestion.
- Survey parking availability and usage statistics to validate the decrease in parking needs.
- Conduct user surveys to measure changes in stress levels associated with commuting before and after AV adoption.","that (ISO 29148)
can (NASA ARM)",3,4,1.0,3,5,2.0,4,5,1.0,2,5,3.0,2,5,3.0,1,5,4.0,2,5,3.0,—
